threshold,precision,recall,f1,tp,fp,tn,fn
0.01,0.04753820033955857,0.9032258064516129,0.09032258064516129,56,1122,268,6
0.02,0.05518763796909492,0.8064516129032258,0.10330578512396695,50,856,534,12
0.03,0.06013986013986014,0.6935483870967742,0.11068211068211067,43,672,718,19
0.04,0.0651085141903172,0.6290322580645161,0.11800302571860818,39,560,830,23
0.05,0.07587548638132295,0.6290322580645161,0.13541666666666669,39,475,915,23
0.060000000000000005,0.08545034642032333,0.5967741935483871,0.14949494949494951,37,396,994,25
0.06999999999999999,0.09523809523809523,0.5806451612903226,0.16363636363636364,36,342,1048,26
0.08,0.10263929618768329,0.5645161290322581,0.17369727047146402,35,306,1084,27
0.09,0.11075949367088607,0.5645161290322581,0.18518518518518517,35,281,1109,27
0.09999999999999999,0.11683848797250859,0.5483870967741935,0.1926345609065156,34,257,1133,28
0.11,0.12408759124087591,0.5483870967741935,0.2023809523809524,34,240,1150,28
0.12,0.1306122448979592,0.5161290322580645,0.20846905537459287,32,213,1177,30
0.13,0.13716814159292035,0.5,0.21527777777777776,31,195,1195,31
0.14,0.14925373134328357,0.4838709677419355,0.22813688212927755,30,171,1219,32
0.15000000000000002,0.15760869565217392,0.46774193548387094,0.23577235772357724,29,155,1235,33
0.16,0.16477272727272727,0.46774193548387094,0.24369747899159663,29,147,1243,33
0.17,0.17575757575757575,0.46774193548387094,0.2555066079295154,29,136,1254,33
0.18000000000000002,0.17901234567901234,0.46774193548387094,0.2589285714285714,29,133,1257,33
0.19,0.19205298013245034,0.46774193548387094,0.27230046948356806,29,122,1268,33
0.2,0.20279720279720279,0.46774193548387094,0.28292682926829266,29,114,1276,33
0.21000000000000002,0.22137404580152673,0.46774193548387094,0.3005181347150259,29,102,1288,33
0.22,0.232,0.46774193548387094,0.3101604278074866,29,96,1294,33
0.23,0.25,0.46774193548387094,0.32584269662921345,29,87,1303,33
0.24000000000000002,0.26666666666666666,0.45161290322580644,0.33532934131736525,28,77,1313,34
0.25,0.28,0.45161290322580644,0.345679012345679,28,72,1318,34
0.26,0.2872340425531915,0.43548387096774194,0.34615384615384626,27,67,1323,35
0.27,0.2872340425531915,0.43548387096774194,0.34615384615384626,27,67,1323,35
0.28,0.2857142857142857,0.41935483870967744,0.33986928104575165,26,65,1325,36
0.29000000000000004,0.30952380952380953,0.41935483870967744,0.3561643835616438,26,58,1332,36
0.3,0.30952380952380953,0.41935483870967744,0.3561643835616438,26,58,1332,36
0.31,0.3333333333333333,0.41935483870967744,0.3714285714285714,26,52,1338,36
0.32,0.34210526315789475,0.41935483870967744,0.3768115942028986,26,50,1340,36
0.33,0.34210526315789475,0.41935483870967744,0.3768115942028986,26,50,1340,36
0.34,0.3611111111111111,0.41935483870967744,0.3880597014925373,26,46,1344,36
0.35000000000000003,0.37142857142857144,0.41935483870967744,0.393939393939394,26,44,1346,36
0.36000000000000004,0.37681159420289856,0.41935483870967744,0.39694656488549623,26,43,1347,36
0.37,0.37681159420289856,0.41935483870967744,0.39694656488549623,26,43,1347,36
0.38,0.4,0.41935483870967744,0.40944881889763785,26,39,1351,36
0.39,0.40625,0.41935483870967744,0.4126984126984127,26,38,1352,36
0.4,0.43333333333333335,0.41935483870967744,0.4262295081967213,26,34,1356,36
0.41000000000000003,0.4406779661016949,0.41935483870967744,0.4297520661157025,26,33,1357,36
0.42000000000000004,0.4642857142857143,0.41935483870967744,0.44067796610169496,26,30,1360,36
0.43,0.48148148148148145,0.41935483870967744,0.4482758620689655,26,28,1362,36
0.44,0.48148148148148145,0.41935483870967744,0.4482758620689655,26,28,1362,36
0.45,0.48148148148148145,0.41935483870967744,0.4482758620689655,26,28,1362,36
0.46,0.49056603773584906,0.41935483870967744,0.45217391304347826,26,27,1363,36
0.47000000000000003,0.49056603773584906,0.41935483870967744,0.45217391304347826,26,27,1363,36
0.48000000000000004,0.49056603773584906,0.41935483870967744,0.45217391304347826,26,27,1363,36
0.49,0.5,0.41935483870967744,0.45614035087719296,26,26,1364,36
0.5,0.5,0.41935483870967744,0.45614035087719296,26,26,1364,36
0.51,0.52,0.41935483870967744,0.46428571428571425,26,24,1366,36
0.52,0.52,0.41935483870967744,0.46428571428571425,26,24,1366,36
0.53,0.5306122448979592,0.41935483870967744,0.46846846846846857,26,23,1367,36
0.54,0.5531914893617021,0.41935483870967744,0.47706422018348627,26,21,1369,36
0.55,0.5531914893617021,0.41935483870967744,0.47706422018348627,26,21,1369,36
0.56,0.5777777777777777,0.41935483870967744,0.4859813084112149,26,19,1371,36
0.5700000000000001,0.5777777777777777,0.41935483870967744,0.4859813084112149,26,19,1371,36
0.5800000000000001,0.5777777777777777,0.41935483870967744,0.4859813084112149,26,19,1371,36
0.59,0.6046511627906976,0.41935483870967744,0.49523809523809514,26,17,1373,36
0.6,0.6190476190476191,0.41935483870967744,0.5,26,16,1374,36
0.61,0.6097560975609756,0.4032258064516129,0.4854368932038835,25,16,1374,37
0.62,0.625,0.4032258064516129,0.49019607843137253,25,15,1375,37
0.63,0.6410256410256411,0.4032258064516129,0.49504950495049505,25,14,1376,37
0.64,0.6410256410256411,0.4032258064516129,0.49504950495049505,25,14,1376,37
0.65,0.6410256410256411,0.4032258064516129,0.49504950495049505,25,14,1376,37
0.66,0.6410256410256411,0.4032258064516129,0.49504950495049505,25,14,1376,37
